"Labels","StartTime","Intensity","Concentration","Comment","TimeStamp","Operator","Outlier"
"M QC VBW","2024-04-24 09:45:57","","","","","","0"
"M LR-20240327-2 QC VBW","2024-03-28 10:40:52","","","","","","0"
"M LR-20240312-66 QC VBW","2024-03-12 14:25:27","","","","","","0"
"M LR-20240308-19 QC VBW","2024-03-08 11:27:49","","","RL","2024-03-11","Schützmann","0"
"M LR-20240305-6 QC VBW","2024-03-06 11:25:13","","","","","","0"
"M LR-20240213-491 QC VBW","2024-02-14 14:02:08","","","","","","0"
"M LR-20230727-87 QC VBW","2023-07-27 11:27:42","","","QC´s vom 25.07.23","2023-07-28","Schützmann","0"
"M LR-20230724-2992 QC VBW","2023-07-24 11:34:22","302.486025885734","0.00442432573741153","QC´s vom 05.07.23","2023-07-28","Schützmann","0"
"M LR-20230522-90 QC VBW","2023-05-22 11:01:21","","","v. 16.05.2023","2023-05-22","Schützmann","0"
"M LR-20230421-28 QC VBW","2023-04-21 10:54:53","","","v. 20.04.2023","2023-04-24","Schützmann","0"
"M LR-20230327-2 QC VBW","2023-03-30 12:31:25","","","v. 24.03.2023","2023-04-04","Schützmann","0"
"M 230224/016 QC VBW","2023-03-14 10:31:12","","","v. 10.03.2023","2023-03-22","Schützmann","0"
"M 230224/016 QC VBW","2023-03-08 10:10:09","","","v. 21.02.2023","2023-03-09","Schützmann","0"
"M 230224/013 QC VBW","2023-03-02 12:06:49","","","v. 14.02.2023","2023-03-08","Schützmann","0"
"M 230203/054 QC VBW","2023-02-08 13:11:45","","","v. 24.01.2023","2023-02-14","Schützmann","0"
"M 230203/051 QC VBW","2023-02-08 12:47:04","1.27985458675533e-12","0.0192761758563262","","","","0"
"M 230203/051 QC VBW","2023-02-08 12:38:51","392678.542508647","4.40405074785223","v. 17.01.2023","2023-02-14","Schützmann","0"
"M 230117/001 QC VBW","2023-01-18 12:51:34","","","","","","0"
"M 230104/001 QC VBW","2023-01-05 10:59:32","","","","","","0"
"M 221106/039 QC VBW","2022-12-12 13:32:04","","","v. 06.12.22","2023-01-09","Schützmann","0"
"M 221106/001 QC VBW","2022-12-08 12:29:51","","","v. 29.11.22","2022-12-09","Schützmann","0"
"M 221128/001 QC VBW","2022-11-29 12:30:10","","","v. 18.11.22","2022-12-02","Schützmann","0"
"M 220902/001 QC VBW","2022-09-05 10:51:27","","","v. 30.08.2022","2022-09-07","Schützmann","0"
"M 220802/001 QC VBW","2022-08-02 12:33:34","","","v. 19.07.2022","2022-08-04","Schützmann","0"
"M 220714/001 QC VBW","2022-07-14 09:57:02","","","v. 12.07.2022","2022-07-22","Schützmann","0"
"M 220711/001 QC VBW","2022-07-11 11:41:43","","","v. 07.07.2022","2022-07-22","Schützmann","0"
"M 220704/001 QC VBW","2022-07-04 12:22:55","","","v. 28.06.2022","2022-07-05","Schützmann","0"
"M 220620/004 QC VBW","2022-06-20 12:06:07","","","","","","0"
"M 220530/025 QC VBW","2022-05-30 10:44:03","","","","","","0"
"M 220516/064 QC VBW","2022-05-16 12:17:10","","","","","","0"
"M 220505/008 QC VBW","2022-05-05 11:07:57","3642.39167745977","0.0369173444754284","","","","0"
"M 220425/001 QC VBW","2022-04-26 12:06:30","","","VBW 22.04.22","2022-04-29","Schützmann","0"
"M 220405/001 QC VBW","2022-04-05 11:03:16","273.116993382898","0.0231347966282405","VBW","2022-04-11","Schützmann","0"
"M 220323/1001 QC VBW","2022-03-25 11:15:56","854.654858318181","0.0060210928443842","VBW","2022-03-25","Schützmann","0"
"M 220307/179 QC VBW","2022-03-07 13:37:41","","","VBW","2022-03-15","Schützmann","0"
"M 220301/065 QC VBW","2022-03-01 10:55:29","","","VBW","2022-03-03","Schützmann","0"
"M 220228/001 QC VBW","2022-02-28 11:23:06","","","VBW","2022-03-03","Schützmann","0"
"M 220221/001 QC VBW","2022-02-21 10:44:00","","","VBW","2022-02-22","Schützmann","0"
"M 220211/012 QC VBW","2022-02-11 10:26:54","","","VBW","2022-02-18","Schützmann","0"
"M 220127/001 QC VBW","2022-01-27 12:00:34","","","VBW","2022-01-31","Schützmann","0"
"M 220119/004 QC VBW","2022-01-20 14:14:41","","","v. 19.01.2022","2022-01-25","Schastok","0"
"M 211220/001 QC VBW","2021-12-20 15:37:57","","","","","","0"
"M QC VBW","2021-12-16 12:40:50","","","","","","0"
"M 211215/016 QC VBW","2021-12-15 11:41:11","","","","","","0"
"M 211214/001 QC VBW","2021-12-14 11:37:35","","","","","","0"
"M 211118/006 QC VBW","2021-12-09 13:47:39","","","v. 18.11.21 / Vial gerissen durch Kühlung bei -80°C","2021-12-10","Schützmann","0"
"M 211018/006 QC VBW","2021-10-18 15:21:00","","","","","","0"
"M 210628/007 QC VBW","2021-06-28 09:47:09","","","","","","0"
"M 210624/003 QC VBW","2021-06-24 11:13:03","","","","","","0"
"M 210623/001 QC VBW","2021-06-23 12:46:54","","","","","","0"
"M 210421/004 QC VBW","2021-04-21 15:48:58","","","","","","0"
"M 210420/001 QC VBW","2021-04-20 11:04:18","","","","","","0"
"M 210308/001 QC VBW","2021-03-08 12:35:52","","","","","","0"
"M 210303/001 QC VBW","2021-03-03 10:30:32","","","","","","0"
"M 210302/001 QC VBW","2021-03-02 10:09:26","","","","","","0"
"M 210217/006 QC VBW","2021-02-17 14:03:28","","","","","","0"
"M 210125/011 QC VBW","2021-01-25 10:51:06","","","","","","0"
"M 210118/014 QC VBW","2021-01-18 14:13:32","","","","","","0"
"M 201215/13 QC VBW v. 15.12.20","2020-12-15 14:23:29","","","","","","0"
"M 201119/01 QC VBW","2020-11-19 12:09:34","","","","","","0"
"M 201118/01 QC VBW","2020-11-18 14:01:02","","","","","","0"
"M 201105/03 QC VBW","2020-11-05 11:13:22","","","","","","0"
"M 201022/06 QC VBW","2020-10-22 12:40:18","","","","","","0"
"M 200813/01 QC VBW","2020-08-13 09:58:11","0","0.00141543935053951","","","","0"
"M 200812/02 QC VBW","2020-08-12 09:28:31","0","0.00318175431545442","","","","0"
"M 200806/46 QC VBW","2020-08-06 11:02:49","0","0.00150502714152482","","","","0"
"M 200723/51 QC VBW","2020-07-23 10:53:35","0","0.00357938150227209","","","","0"
"M 200605/02 QC VBW","2020-06-08 15:15:33","0","0.00319885662139676","","","","0"
"M 200519/20 QC VBW","2020-05-19 12:54:25","0","-7.76976313305369e-05","","","","0"
"M 200420/04 QC VBW","2020-04-20 09:34:42","0","-0.00143408589745215","","","","0"
"M 200326/01 QC VBW","2020-03-26 10:45:47","0","0.00170919695719151","","","","0"
"M 200311/03 QC VBW","2020-03-11 13:18:19","0","0.00628949383590034","","","","0"
"M 200206/45 QC VBW","2020-02-06 12:10:18","0","0.00268174509606976","","","","0"
"M 200122/01 QC VBW","2020-01-22 10:41:07","0","0.00290576360589003","","","","0"
"M 200115/17 QC VBW","2020-01-15 11:59:05","0","0.00224242853843529","","","","0"
"M 200109/54 QC VBW","2020-01-09 13:33:00","0","0.00426592739986909","","","","0"
"M 191211/09 QC VBW","2019-12-11 10:50:18","0","-0.00368047395936888","","","","0"
"M 191120/15 QC VBW","2019-11-20 11:44:17","0","0.00133900449490001","","","","0"
"M 191113/01 QC VBW","2019-11-13 10:15:58","0","-0.0011541761307166","","","","0"
"M 191112/06 QC VBW","2019-11-12 11:18:56","0","0.00130810058938312","","","","0"
"M 191111/33 QC VBW","2019-11-11 12:23:59","0","-0.00200451064583183","","","","0"
"M 191031/01 QC VBW","2019-10-31 16:41:09","0","-0.00317920655801391","","","","0"
"M 190904/01 QC VBW","2019-09-04 13:01:07","0","0.00325409186743456","","","","0"
"M 190826/14 QC VBW","2019-08-26 13:01:08","0","3.4007546988706e-05","","","","0"
"M 190502/04 QC VBW","2019-05-02 11:01:13","0","0.005","","","","0"
"M 190328/04 QC VBW","2019-03-28 12:33:11","0","0.003","","","","0"
"M 190208/01 QC VBW","2019-02-11 09:18:07","0","-0.003","","","","0"
"M 190131/26 QC VBW","2019-01-31 14:12:37","0","0","","","","0"
"M 190117/01 QC VBW","2019-01-17 14:44:40","0","0.001","","","","0"
"M LR-20240424-10 QC VBW","","","","","","","0"
"M LR-20240424-10 QC VBW","","","","","","","0"
"M LR-20240424-10 QC VBW",,,,"","","","0"
